25/10/2016,Cleveland Cavaliers,New York Knicks
25/10/2016,Portland Trail Blazers,Utah Jazz
25/10/2016,Golden State Warriors,San Antonio Spurs
26/10/2016,Indiana Pacers,Dallas Mavericks
26/10/2016,Orlando Magic,Miami Heat
26/10/2016,Boston Celtics,Brooklyn Nets
26/10/2016,Toronto Raptors,Detroit Pistons
26/10/2016,Memphis Grizzlies,Minnesota Timberwolves
26/10/2016,Milwaukee Bucks,Charlotte Hornets
26/10/2016,New Orleans Pelicans,Denver Nuggets
26/10/2016,Philadelphia 76ers,Oklahoma City Thunder
26/10/2016,Phoenix Suns,Sacramento Kings
26/10/2016,Los Angeles Lakers,Houston Rockets
27/10/2016,Atlanta Hawks,Washington Wizards
27/10/2016,Chicago Bulls,Boston Celtics
27/10/2016,Portland Trail Blazers,Los Angeles Clippers
27/10/2016,Sacramento Kings,San Antonio Spurs
28/10/2016,Toronto Raptors,Cleveland Cavaliers
28/10/2016,Brooklyn Nets,Indiana Pacers
28/10/2016,Detroit Pistons,Orlando Magic
28/10/2016,Miami Heat,Charlotte Hornets
28/10/2016,Oklahoma City Thunder,Phoenix Suns
28/10/2016,Dallas Mavericks,Houston Rockets
28/10/2016,Utah Jazz,Los Angeles Lakers
28/10/2016,New Orleans Pelicans,Golden State Warriors
29/10/2016,Philadelphia 76ers,Atlanta Hawks
29/10/2016,Charlotte Hornets,Boston Celtics
29/10/2016,Cleveland Cavaliers,Orlando Magic
29/10/2016,New York Knicks,Memphis Grizzlies
29/10/2016,Chicago Bulls,Indiana Pacers
29/10/2016,Milwaukee Bucks,Brooklyn Nets
29/10/2016,San Antonio Spurs,New Orleans Pelicans
29/10/2016,Denver Nuggets,Portland Trail Blazers
29/10/2016,Sacramento Kings,Minnesota Timberwolves
30/10/2016,Los Angeles Clippers,Utah Jazz
30/10/2016,Detroit Pistons,Milwaukee Bucks
30/10/2016,Miami Heat,San Antonio Spurs
30/10/2016,Phoenix Suns,Golden State Warriors
30/10/2016,Memphis Grizzlies,Washington Wizards
30/10/2016,Oklahoma City Thunder,Los Angeles Lakers
30/10/2016,Houston Rockets,Dallas Mavericks
31/10/2016,Atlanta Hawks,Sacramento Kings
31/10/2016,Brooklyn Nets,Chicago Bulls
31/10/2016,Toronto Raptors,Denver Nuggets
31/10/2016,Los Angeles Clippers,Phoenix Suns
01/11/2016,Cleveland Cavaliers,Houston Rockets
01/11/2016,Indiana Pacers,Los Angeles Lakers
01/11/2016,Philadelphia 76ers,Orlando Magic
01/11/2016,Detroit Pistons,New York Knicks
01/11/2016,Miami Heat,Sacramento Kings
01/11/2016,Minnesota Timberwolves,Memphis Grizzlies
01/11/2016,New Orleans Pelicans,Milwaukee Bucks
01/11/2016,San Antonio Spurs,Utah Jazz
01/11/2016,Portland Trail Blazers,Golden State Warriors
02/11/2016,Charlotte Hornets,Philadelphia 76ers
02/11/2016,Washington Wizards,Toronto Raptors
02/11/2016,Atlanta Hawks,Los Angeles Lakers
02/11/2016,Brooklyn Nets,Detroit Pistons
02/11/2016,New York Knicks,Houston Rockets
02/11/2016,Boston Celtics,Chicago Bulls
02/11/2016,Memphis Grizzlies,New Orleans Pelicans
02/11/2016,Utah Jazz,Dallas Mavericks
02/11/2016,Phoenix Suns,Portland Trail Blazers
02/11/2016,Los Angeles Clippers,Oklahoma City Thunder
03/11/2016,Orlando Magic,Sacramento Kings
03/11/2016,Cleveland Cavaliers,Boston Celtics
03/11/2016,Milwaukee Bucks,Indiana Pacers
03/11/2016,Minnesota Timberwolves,Denver Nuggets
03/11/2016,Golden State Warriors,Oklahoma City Thunder
04/11/2016,Washington Wizards,Atlanta Hawks
04/11/2016,Brooklyn Nets,Charlotte Hornets
04/11/2016,Toronto Raptors,Miami Heat
04/11/2016,Chicago Bulls,New York Knicks
04/11/2016,Memphis Grizzlies,Los Angeles Clippers
04/11/2016,New Orleans Pelicans,Phoenix Suns
04/11/2016,Dallas Mavericks,Portland Trail Blazers
04/11/2016,Utah Jazz,San Antonio Spurs
04/11/2016,Los Angeles Lakers,Golden State Warriors
05/11/2016,Oklahoma City Thunder,Minnesota Timberwolves
05/11/2016,Detroit Pistons,Denver Nuggets
05/11/2016,Indiana Pacers,Chicago Bulls
