Boston Celtics,Eastern,Atlantic,0.739,1.241
Brooklyn Nets,Eastern,Atlantic,0.712,1.291
New York Knicks,Eastern,Atlantic,0.712,1.291
Philadelphia 76ers,Eastern,Atlantic,0.697,1.312
Toronto Raptors,Eastern,Atlantic,0.762,1.386
Chicago Bulls,Eastern,Central,0.730,1.529
Cleveland Cavaliers,Eastern,Central,0.724,1.424
Detroit Pistons,Eastern,Central,0.739,1.449
Indiana Pacers,Eastern,Central,0.694,1.504
Milwaukee Bucks,Eastern,Central,0.751,1.534
Atlanta Hawks,Eastern,Southeast,0.589,1.473
Charlotte Hornets,Eastern,Southeast,0.615,1.411
Miami Heat,Eastern,Southeast,0.450,1.400
Orlando Magic,Eastern,Southeast,0.498,1.420
Washington Wizards,Eastern,Southeast,0.679,1.344
Dallas Mavericks,Western,Southwest,0.572,1.689
Houston Rockets,Western,Southwest,0.519,1.664
Memphis Grizzlies,Western,Southwest,0.613,1.572
New Orleans Pelicans,Western,Southwest,0.523,1.572
San Antonio Spurs,Western,Southwest,0.513,1.720
Denver Nuggets,Western,Northwest,0.694,1.833
Minnesota Timberwolves,Western,Northwest,0.785,1.627
Oklahoma City Thunder,Western,Northwest,0.618,1.701
Portland Trailblazers,Western,Northwest,0.794,2.141
Utah Jazz,Western,Northwest,0.712,1.953
Golden State Warriors,Western,Pacific,0.660,2.134
Los Angeles Clippers,Western,Pacific,0.594,2.064
Los Angeles Lakers,Western,Pacific,0.594,2.064
Phoenix Suns,Western,Pacific,0.584,1.956
Sacramento Kings,Western,Pacific,0.673,2.121
